"Marca temporal","¿En que te fijas al comprar o jugar un juego en Steam?","¿Que tan importante para ti la cantidad de jugadores activos en Steam?","Si un videojuego esta presente en el TOP 100 de Steam, ¿te incentiva más a comprarlo o jugarlo?","Si un juego tiene MUCHOS jugadores activos pero malas reseñas, ¿lo jugarías/comprarías igual?  "
"2026/05/09 2:19:01 p. m. GMT-4","Precio;Descuento/Oferta","2","Me incentiva","Dependiendo del precio"
"2026/05/09 3:03:01 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Genero del juego","5","Me da igual","Depende de lo que digan las reseñas"
"2026/05/10 7:08:19 p. m. GMT-4","Precio;Valoraciones de los usuarios;Genero del juego;Descuento/Oferta","1","Me incentiva","No, las reseñas pesan más"
"2026/05/10 8:53:53 p. m. GMT-4","Precio;Valoraciones de los usuarios;Valoraciones de criticos o prensa (Metacritic, IGN);Si lo ha jugado algun amigo;Genero del juego","4","Me incentiva","No, las reseñas pesan más"
"2026/05/10 10:13:13 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","4","Me da igual","Tal vez"
"2026/05/10 10:17:08 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta","1","Me da igual","Depende de lo que digan las reseñas"
"2026/05/10 10:23:47 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta","1","Me incentiva","Dependiendo del precio"
"2026/05/10 10:41:31 p. m. GMT-4","Valoraciones de los usuarios;Valoraciones de criticos o prensa (Metacritic, IGN);Duracion del juego;Descuento/Oferta","2","Me incentiva","Si"
"2026/05/10 10:51:01 p. m. GMT-4","Precio;Valoraciones de los usuarios","4","Me da igual","No, las reseñas pesan más"
"2026/05/10 10:59:25 p. m. GMT-4","Precio;Valoraciones de los usuarios;Genero del juego;Descuento/Oferta","2","Me da igual","Depende de lo que digan las reseñas"
"2026/05/10 11:10:16 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta","4","Me incentiva","Dependiendo del precio"
"2026/05/11 1:15:45 p. m. GMT-4","Precio;Valoraciones de los usuarios;Genero del juego;Descuento/Oferta","2","Me da igual","Tal vez"
"2026/05/11 3:59:18 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta","3","Me da igual","Dependiendo del precio"
"2026/05/11 4:00:58 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","5","Me da igual","No, las reseñas pesan más"
"2026/05/11 4:01:34 p. m. GMT-4","Precio;Si esta en el TOP 100 de Steam (Más jugados);Si lo ha jugado algun amigo;Descuento/Oferta","2","Me da igual","Dependiendo del precio"
"2026/05/11 4:03:34 p. m. GMT-4","Precio;Si esta en el TOP 100 de Steam (Más jugados);Genero del juego;Descuento/Oferta","1","Me incentiva","Dependiendo del precio"
"2026/05/11 4:06:45 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Descuento/Oferta","3","Me incentiva","Depende de lo que digan las reseñas"
"2026/05/11 4:08:01 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta","3","Me da igual","Si"
"2026/05/11 4:10:22 p. m. GMT-4","Precio;Valoraciones de los usuarios;Si lo ha jugado algun amigo;Descuento/Oferta","3","Me incentiva","No, las reseñas pesan más"
"2026/05/11 4:12:23 p. m. GMT-4","Precio;Valoraciones de los usuarios;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta","4","Me da igual","No, las reseñas pesan más"
"2026/05/11 4:14:54 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","3","Me da igual","Dependiendo del precio"
"2026/05/11 4:19:09 p. m. GMT-4","Precio;Valoraciones de los usuarios;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","4","Me da igual","Dependiendo del precio"
"2026/05/11 4:19:27 p. m. GMT-4","Precio;Valoraciones de los usuarios;Si esta en el TOP 100 de Steam (Más jugados);Genero del juego;Descuento/Oferta","3","Me incentiva","Depende de lo que digan las reseñas"
"2026/05/11 4:20:09 p. m. GMT-4","Precio;Genero del juego;Descuento/Oferta","1","Me da igual","Dependiendo del precio"
"2026/05/11 4:26:52 p. m. GMT-4","Valoraciones de los usuarios;Genero del juego;Descuento/Oferta","3","Me da igual","Dependiendo del precio"
"2026/05/11 4:30:10 p. m. GMT-4","Precio;Genero del juego;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","5","Me incentiva","Depende de lo que digan las reseñas"
"2026/05/11 4:37:19 p. m. GMT-4","Precio;Valoraciones de los usuarios;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","4","Me da igual","Dependiendo del precio"
"2026/05/11 4:40:27 p. m. GMT-4","Precio;Si lo ha jugado algun amigo;Genero del juego;Descuento/Oferta;Si es un juego viral en Twitch o Redes sociales","3","Me da igual","Dependiendo del precio"
"2026/05/11 4:45:38 p. m. GMT-4","Precio;Valoraciones de los usuarios;Duracion del juego;Genero del juego;Descuento/Oferta","1","Me incentiva","Depende de lo que digan las reseñas"
"2026/05/11 5:17:00 p. m. GMT-4","Precio;Valoraciones de los usuarios;Genero del juego","3","Me da igual","No, las reseñas pesan más"
"2026/05/11 5:32:41 p. m. GMT-4","Precio;Valoraciones de los usuarios;Genero del juego","2","Me incentiva","Dependiendo del precio"
"2026/05/11 6:11:35 p. m. GMT-4","Precio;Valoraciones de los usuarios","2","Me da igual","Depende de lo que digan las reseñas"
"2026/05/11 8:41:12 p. m. GMT-4","Precio;Valoraciones de los usuarios;Descuento/Oferta","5","Me da igual","Depende de lo que digan las reseñas"
